,0
0,DCE.pg2211
1,DCE.jm2301
2,DCE.bb2301
3,DCE.i2301
4,DCE.eg2301
5,DCE.rr2212
6,DCE.a2211
7,DCE.j2301
8,DCE.lh2301
9,DCE.y2301
10,DCE.eb2211
11,DCE.b2211
12,DCE.jd2301
13,DCE.p2301
14,DCE.c2301
15,DCE.v2301
16,DCE.l2301
17,DCE.fb2301
18,DCE.m2301
19,DCE.pp2301
20,DCE.cs2211
